"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","ehscenter",TRUE,"ITT","all","R",0.519376306922035,0.144158258426136,0.000490422056344428,NA,110
"12m","ehscenter",TRUE,"ITT","all","m_iq",0.021979174220203,0.00938601085944677,0.0211595538609624,NA,110
"12m","ehscenter",TRUE,"ITT","all","sex",-0.174013524345505,0.143274681899596,0.22737172662975,NA,110
"12m","ehscenter",TRUE,"ITT","all","m_age",-0.00142947144192325,0.0117359350098634,0.903297096051573,NA,110
"12m","ehscenter",TRUE,"ITT","all","sibling",0.0628300989652264,0.0849294447599946,0.461142491886649,NA,110
"12m","ehscenter",TRUE,"ITT","all","gestage",0.00509037757473484,0.0432639854433192,0.906571881970028,NA,110
"12m","ehscenter",TRUE,"ITT","all","mf",0.0587150300924844,0.285565539221189,0.837509691047148,NA,110
"12m","ehscenter",TRUE,"ITT","all","poverty",0.0826748315775519,0.239842584885732,0.731033243148976,NA,110
"12m","ehscenter",TRUE,"ITT","short","Constant",-2.81918717547772,0.80684052395832,0.000695389284389465,NA,110
"12m","ehscenter",TRUE,"ITT","short","R",0.53279026063202,0.14086667655384,0.000257540395028834,NA,110
"12m","ehscenter",TRUE,"ITT","short","m_iq",0.0234232413508606,0.00915942068371144,0.011964069265722,NA,110
"12m","ehscenter",TRUE,"ITT","short","m_age",0.000878576841013865,0.0110699814133664,0.936891388049702,NA,110
"12m","ehscenter",TRUE,"LATE","none","Constant",-0.935786867698903,0.144236132073541,2.70504042774769e-09,25.5659016393443,110
"12m","ehscenter",TRUE,"LATE","none","D",1.10732913775811,0.336547111831142,0.00135231486276191,25.5659016393443,110
"12m","ehscenter",TRUE,"LATE","all","Constant",-1.02899161823557,2.04610055688768,0.616126847320348,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","D",1.17813525113067,0.345044884769725,0.000921387950028911,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","m_iq",0.0171290620389126,0.00980342444179079,0.0836330042081613,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","sex",-0.0718808454384932,0.15469292023939,0.643169406332768,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","m_age",-0.0167094377825672,0.012695411350337,0.191093159455611,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","sibling",-0.0652720092955621,0.100425870489207,0.517198722781116,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","gestage",-0.0231838438523586,0.0470159007893332,0.623007802084449,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","mf",-0.0591440273116985,0.301902794850031,0.845078754199552,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","all","poverty",-0.0508178602305982,0.258354733569224,0.844459133557295,27.038962408117,110
"12m","ehscenter",TRUE,"LATE","short","Constant",-2.07481339924591,0.808500189630496,0.0116771430926453,30.298415481383,110
"12m","ehscenter",TRUE,"LATE","short","D",1.13925021838939,0.313325049781472,0.000429166816939723,30.298415481383,110
"12m","ehscenter",TRUE,"LATE","short","m_iq",0.0180194097984511,0.00943635243091392,0.058891514603587,30.298415481383,110
"12m","ehscenter",TRUE,"LATE","short","m_age",-0.0175964162404169,0.0120597503892938,0.14749384863639,30.298415481383,110
"12m","abc",FALSE,"ITT","none","Constant",-0.53365878,0.129518677572101,7.76012674984315e-05,NA,103
"12m","abc",FALSE,"ITT","none","R",0.972460534716981,0.18055647982304,4.71566498481054e-07,NA,103
